"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/2024","9,795.85","9,803.64","9,803.64","9,757.24","228.51K","-0.08%"
"08/01/2024","9,803.64","9,798.66","9,819.93","9,771.49","","0.02%"
"07/31/2024","9,801.19","9,836.84","9,843.55","9,787.08","","-0.36%"
"07/30/2024","9,836.84","9,847.93","9,850.56","9,798.00","","-0.10%"
"07/29/2024","9,847.17","9,875.03","9,875.03","9,830.78","","-0.28%"
"07/26/2024","9,875.03","9,861.66","9,875.26","9,803.33","","0.16%"
"07/24/2024","9,859.63","9,846.64","9,863.31","9,823.22","","0.13%"
"07/23/2024","9,846.64","9,861.87","9,878.83","9,837.76","","-0.15%"
"07/22/2024","9,861.87","9,845.44","9,876.22","9,833.75","","0.17%"
"07/19/2024","9,845.44","9,873.04","9,879.05","9,821.89","","-0.28%"
"07/18/2024","9,873.04","9,864.58","9,886.20","9,815.26","","0.09%"
"07/17/2024","9,864.58","9,864.46","9,880.89","9,816.53","","0.03%"
"07/16/2024","9,861.22","9,842.23","9,861.22","9,796.43","","0.20%"
"07/15/2024","9,841.47","9,831.07","9,859.48","9,810.43","","0.11%"
"07/12/2024","9,831.07","9,814.36","9,831.07","9,767.92","","0.17%"
"07/11/2024","9,814.36","9,723.41","9,819.31","9,723.41","","0.94%"
"07/10/2024","9,723.25","9,723.11","9,771.67","9,723.11","354.93K","0.00%"
"07/09/2024","9,723.08","9,729.79","9,739.08","9,699.07","429.32K","-0.07%"
"07/08/2024","9,729.64","9,736.50","9,774.14","9,705.22","439.29K","-0.06%"
"07/05/2024","9,735.86","9,665.45","9,756.28","9,665.45","485.24K","0.74%"
"07/04/2024","9,664.72","9,661.83","9,688.26","9,626.12","400.53K","0.03%"
"07/03/2024","9,661.77","9,642.43","9,682.42","9,621.70","376.37K","0.19%"
"07/02/2024","9,643.58","9,664.17","9,696.20","9,621.55","1.62M","-0.12%"
"07/01/2024","9,655.59","9,726.11","9,747.58","9,652.70","402.04K","-0.72%"
"06/28/2024","9,726.08","9,741.06","9,752.54","9,679.05","517.93K","-0.15%"
"06/27/2024","9,740.54","9,754.43","9,788.76","9,691.01","329.77K","-0.14%"
